"k_value","avg_accuracy","pca_k_value","pca_avg_accuracy"
1,61.3459879206212,1,58.3549036525741
2,58.9301121656601,2,58.9588725913144
3,62.4388840954846,3,61.7486338797814
4,62.381363244176,4,61.0296232384239
5,64.4521138912856,5,62.1512798389416
6,64.3370721886684,6,62.1512798389416
7,64.3658326143227,7,61.6911130284728
8,64.7397181478286,8,62.4964049467932
9,65.4874892148404,9,63.9056658038539
10,65.1423641069888,10,64.2220304860512
11,65.832614322692,11,64.4233534656313
12,66.6666666666667,12,63.5605406960023
13,66.120218579235,13,63.9631866551625
14,66.6666666666667,14,64.0782283577797
15,68.0759275237274,15,64.5096347425942
16,67.55823986195,16,64.7397181478286
17,67.2993960310613,17,65.4587287891861
18,67.7020419902215,18,65.4299683635318
19,67.8170836928387,19,65.4299683635318
20,67.471958584987,20,65.5737704918033
21,67.6157607132586,21,66.2640207075065
22,68.0184066724187,22,66.2352602818522
23,68.0759275237273,23,66.9542709232097
24,67.9896462467645,24,66.6666666666667
25,68.6511360368134,25,67.0405522001726
26,68.2772505033074,26,67.2418751797527
27,68.8524590163934,27,66.9255104975554
28,68.3635317802703,28,66.8392292205925
29,68.7661777394305,29,66.5228645383952
30,68.3060109289618,30,66.4941041127409
31,68.9675007190106,31,66.6666666666667
32,68.7949381650848,32,66.8392292205925
33,68.8812194420477,33,67.4144377336785
34,68.9387402933563,34,67.270635605407
35,68.8524590163934,35,67.3281564567156
36,69.1113028472821,36,68.2197296519988
37,69.1975841242451,37,68.1622088006903
38,68.5073339085419,38,68.4210526315789
39,68.5073339085419,39,68.6511360368133
40,69.0537819959735,40,68.3347713546161
41,68.8236985907391,41,68.6798964624677
42,68.8524590163935,42,68.4498130572332
43,69.3701466781708,43,68.5936151855047
44,69.2263445498994,44,68.622375611159
45,70.060396893874,45,68.8236985907391
46,70.0316364682197,46,68.5073339085419
47,69.7152717860224,47,68.7086568881219
48,69.6577509347138,48,68.6511360368133
49,69.6865113603681,49,68.6798964624677
50,69.8590739142939,50,68.6798964624677
51,69.8878343399482,51,68.5073339085419
52,69.8878343399482,52,68.4498130572332
53,69.7440322116767,53,68.2772505033075
54,69.8015530629853,54,68.7374173137762
55,69.8878343399482,55,68.8236985907391
56,69.6865113603681,56,68.5648547598504
57,69.8878343399482,57,68.7086568881219
58,69.8590739142939,58,68.8524590163934
59,69.9741156169111,59,68.8524590163934
60,69.9165947656025,60,68.7374173137762
61,69.8590739142939,61,68.6798964624677
62,70.1179177451826,62,68.6511360368133
63,69.9741156169111,63,68.4210526315789
64,70.060396893874,64,68.5648547598504
65,69.9741156169111,65,68.1909692263445
66,70.0028760425654,66,68.3635317802703
67,69.9741156169111,67,68.133448375036
68,69.9165947656025,68,68.1334483750359
69,69.9741156169111,69,68.0471670980731
70,70.0316364682197,70,68.3347713546161
71,70.1466781708369,71,68.2197296519988
72,70.0891573195283,72,68.2197296519989
73,70.2329594477998,73,68.1909692263446
74,70.0316364682197,74,68.1046879493817
75,69.9741156169111,75,68.3347713546161
76,70.0316364682197,76,68.1909692263446
77,70.1466781708369,77,68.5360943341962
78,70.060396893874,78,68.3922922059246
79,69.9741156169111,79,68.3635317802703
80,70.0891573195283,80,68.3347713546161
81,70.060396893874,81,68.3922922059246
82,70.0028760425654,82,68.3347713546161
83,70.060396893874,83,68.5360943341962
84,70.0891573195283,84,68.4498130572332
85,69.9741156169111,85,68.6511360368133
86,70.0891573195283,86,68.5648547598504
87,70.060396893874,87,68.6798964624677
88,70.1179177451826,88,68.622375611159
89,70.060396893874,89,68.6798964624677
90,70.0316364682197,90,68.3922922059246
91,69.8878343399482,91,68.5360943341962
92,69.8878343399482,92,68.4210526315789
93,69.8878343399482,93,68.5360943341962
94,69.8878343399482,94,68.5073339085419
95,69.9741156169111,95,68.622375611159
96,69.8303134886396,96,68.6511360368134
97,69.8015530629853,97,68.5936151855047
98,69.7152717860224,98,68.5936151855047
99,69.6577509347138,99,68.5936151855047
100,69.6289905090595,100,68.4498130572332
